Study Hours,Sleep Hours,Attendance (%),Grades
3.4,8.2,53,47
3.2,5.9,55,35
3.2,9.3,41,32
3.2,8.2,47,34
3.8,10,75,33
3.4,9,47,51
7.9,8.1,63,54
1.4,8,47,34
5.4,8.8,67,39
1.4,9.6,42,34
3.8,7.3,61,35
9.1,7.7,80,60
1.1,8.9,43,34
3.7,8,55,35
3.7,9.9,51,51
3.9,9.3,68,33
2.9,5.7,60,35
4.6,5.4,74,34
3.9,9.8,69,46
3.5,8.3,55,39
2.6,8.1,47,35
3.5,8.8,70,34
9.8,6.2,78,64
6.5,9.2,65,52
4,6,66,34
3.1,8.6,52,37
2.8,5.6,40,33
3.8,8.2,59,34
5.9,8.1,58,45
3.5,6.9,60,35
3.8,9.4,45,33
7.2,7.7,56,49
6.1,8.9,53,43
3,9.8,53,34
4.9,7.6,51,35
5.3,9.8,74,38
2.1,7.9,56,33
9.5,7.1,41,88
6.8,8.9,56,47
3.7,9.3,68,34
3.7,9.2,80,33
1.3,8.7,49,34
3.6,8.6,63,34
8.4,7.5,80,58
3.6,9.2,77,35
3,6.2,61,35
3.1,5.5,53,34
3.8,6.1,60,34
3.6,6.3,42,34
9,7.3,74,61
8.9,6.4,84,60
8.8,5.1,72,60
4.2,7.8,72,33
3.6,8.7,62,33
1,7.2,46,34
4,6.1,55,35
3.5,8.6,51,34
3.4,9,43,34
1.9,9.5,73,35
6.9,5.9,67,48
4.3,8,66,35
3.6,7.3,54,34
2.6,6.6,58,33
5.7,7.9,78,66
8,8.7,63,54
6.2,8.2,46,57
6.5,9.7,68,46
3.8,8.4,76,47
3.3,9.9,40,33
3.9,6.8,53,33
5.8,9.4,64,41
3.2,6.7,44,33
7.3,9.6,61,54
8.1,8.5,84,70
8.6,7.4,100,58
4,9.8,50,35
3.2,6.9,47,33
2.5,9.8,41,34
6.7,6.3,63,46
4.9,8.2,69,49
3.6,9.9,63,34
5.5,5.5,54,38
3.9,5.1,64,35
3.9,9.1,64,33
7.1,8.8,53,49
6.8,7.4,61,46
2.3,6.4,51,33
3.8,8.2,51,34
4.5,8.6,47,34
3.6,7.7,66,34
7.3,5.1,57,51
3.9,8.2,66,34
1.6,7.1,44,35
3,8.1,42,35
3.6,8.6,58,34
7.4,8.2,82,50
3.2,9.3,48,37
3.4,9,65,34
3.8,6.1,55,45
4.8,8.9,59,54
4.1,9,47,53
3.9,9.8,79,34
3.8,9.1,55,35
3.1,9,59,35
3.6,5.1,48,33
8.3,8.2,59,64
2,8.6,49,33
4,8.8,65,33
7.6,9,59,53
3.6,5.8,57,34
6.6,8.5,51,57
